audio_id;Date;Group;Bat_flying;Bat_roosting;Dyad;flight_time;n_inquiry;n_response
443;11/2/2022;5;982126057845087;982126058484301;982126057845087  982126058484301;300;138;118
444;11/2/2022;5;900200000279415;982126058484260;900200000279415  982126058484260;300;103;417
445;11/2/2022;11;982126058484302;982126057845085;982126058484302  982126057845085;300;76;64
446;11/2/2022;5;900200000279415;982126057845119;900200000279415  982126057845119;300;67;459
447;11/2/2022;5;982126057845098;982126058484260;982126057845098  982126058484260;300;119;315
448;11/2/2022;11;982126057845085;982126058484302;982126057845085  982126058484302;300;54;0
449;11/2/2022;5;982126058484301;982126057845087;982126058484301  982126057845087;35;2;0
450;11/4/2022;2;982126057846241;982126057846227;982126057846241  982126057846227;180;82;25
451;11/4/2022;9,1;982126057846218;982126051278521;982126057846218  982126051278521;300;0;0
452;11/4/2022;2;982126057846227;982126057846241;982126057846227  982126057846241;300;104;0
453;11/4/2022;9,1;982126057846218;982126057846222;982126057846218  982126057846222;300;25;64
454;11/4/2022;2;982126057846241;900200000206691;982126057846241  900200000206691;300;119;0
455;11/4/2022;9,1;982126051278521;982126051278540;982126051278521  982126051278540;300;72;0
456;11/4/2022;2;982126058484287;982126057845093;982126058484287  982126057845093;100;20;3
457;11/4/2022;9,1;982126051278540;982126051278521;982126051278540  982126051278521;300;69;0
458;11/4/2022;2;982126057845093;982126058484287;982126057845093  982126058484287;300;72;0
459;11/4/2022;2;900200000206691;982126057846227;900200000206691  982126057846227;9;6;0
460;11/4/2022;9,1;982126057846222;982126051278540;982126057846222  982126051278540;300;57;0
461;11/4/2022;2;982126057845093;900200000206691;982126057845093  900200000206691;300;44;1
462;11/4/2022;9,1;982126057846218;982126051278521;982126057846218  982126051278521;300;13;0
463;11/4/2022;2;900200000206691;982126057845093;900200000206691  982126057845093;300;88;24
464;11/8/2022;10;982126057846246;900200000206430;982126057846246  900200000206430;300;90;0
465;11/8/2022;10;982126052945921;982126057845106;982126052945921  982126057845106;300;111;383
466;11/8/2022;10;982126057845106;982126057846246;982126057845106  982126057846246;300;103;8
467;11/8/2022;10;900200000206430;982126052945921;900200000206430  982126052945921;300;156;0
468;11/8/2022;10;982126052945921;982126057846246;982126052945921  982126057846246;300;98;0
469;11/8/2022;10;982126057845079;982126057845238;982126057845079  982126057845238;300;68;0
470;11/8/2022;10;982126057846246;982126057845106;982126057846246  982126057845106;300;81;34
471;11/8/2022;10;982126057845238;982126057845079;982126057845238  982126057845079;300;100;318
472;11/9/2022;1;982126058484331;900200000279533;982126058484331  900200000279533;300;162;18
473;11/9/2022;12;982126057845205;982126057845142;982126057845205  982126057845142;225;93;559
474;11/9/2022;1;982126057845190;982126057845069;982126057845190  982126057845069;300;67;548
475;11/9/2022;12;982126057845142;982126057845162;982126057845142  982126057845162;300;92;52
476;11/9/2022;1;982126057845069;900200000279533;982126057845069  900200000279533;300;46;12
477;11/9/2022;12;982126057845162;982126057845204;982126057845162  982126057845204;128;54;72
478;11/9/2022;1;900200000279533;982126057845069;900200000279533  982126057845069;300;77;358
479;11/9/2022;12;982126057845204;982126057845162;982126057845204  982126057845162;300;101;10
480;11/9/2022;1;982126057845190;982126058484331;982126057845190  982126058484331;300;53;2
481;11/9/2022;12;982126057845142;982126057845205;982126057845142  982126057845205;300;52;0
482;11/9/2022;1;982126058484331;982126057845190;982126058484331  982126057845190;300;110;424
483;11/14/2022;6;982126057845067;982126057845225;982126057845067  982126057845225;300;36;11
484;11/14/2022;6;982126051278470;982126057846207;982126051278470  982126057846207;193;51;236
485;11/14/2022;6;982126057845067;982126057845225;982126057845067  982126057845225;161;29;64
486;11/14/2022;6;982126057846207;982126051278470;982126057846207  982126051278470;300;60;18
487;11/14/2022;6;982126057845225;982126057846207;982126057845225  982126057846207;300;79;383
488;11/14/2022;6;982126051278470;900200000279517;982126051278470  900200000279517;300;81;65
490;11/14/2022;6;982126057845225;982126057845067;982126057845225  982126057845067;300;79;29
491;11/14/2022;6;900200000279517;982126051278470;900200000279517  982126051278470;300;39;269
492;12/12/2022;9,1;982126051278540;982126057846222;982126051278540  982126057846222;300;75;135
493;12/12/2022;9,2;982126058484300;982126057846159;982126058484300  982126057846159;300;99;380
494;12/12/2022;8;982126057846228;982126057846186;982126057846228  982126057846186;165;64;76
495;12/12/2022;9,1;982126057846218;982126051278540;982126057846218  982126051278540;300;4;0
496;12/12/2022;9,2;982126057846159;982126058484300;982126057846159  982126058484300;300;12;0
497;12/12/2022;8;982126051278475;982126057846186;982126051278475  982126057846186;300;27;280
498;12/12/2022;9,1;982126051278521;982126057846222;982126051278521  982126057846222;300;76;100
499;12/12/2022;9,2;982126058484277;982126057846159;982126058484277  982126057846159;300;280;266
500;12/12/2022;8;900200000279820;982126057846228;900200000279820  982126057846228;300;108;667
501;12/12/2022;9,1;982126057846222;982126051278521;982126057846222  982126051278521;300;64;0
502;12/12/2022;8;982126057846186;982126057846228;982126057846186  982126057846228;67;7;0
