data_id;Group;Date;Bat1;Bat2;Bat3;Bat4;Bat5;Bat6;Bat7;Bat8
2006;1;8/12/2022;982126057845190;982126057845069;900200000279533;982126058484331;NA;NA;NA;NA
2010;3;8/12/2022;982126057846193;982126058484346;982126058484334;900200000279490;982126058484312;NA;NA;NA
2015;12;8/12/2022;982126057845205;982126057845204;982126057845162;982126057845142;NA;NA;NA;NA
2019;4;8/12/2022;982126057846180;982126057846156;982126057846209;982126057846171;982126057845144;NA;NA;NA
2024;13;12/12/2022;982126051278521;982126051278540;982126057846222;982126057846218;NA;NA;NA;NA
2028;9;12/12/2022;982126058484300;982126058484277;982126057846159;NA;NA;NA;NA;NA
2031;8;12/12/2022;982126057846228;982126051278475;982126057846186;900200000279820;NA;NA;NA;NA
2035;11;19/12/2022;982126057846231;982126058484302;982126057845085;NA;NA;NA;NA;NA
2038;7;19/12/2022;982126057846208;982126051278564;982126051278504;982126057845081;NA;NA;NA;NA
2042;10;27/12/2022;982126057846246;982126057845079;982126052945921;982126057845238;900200000206430;982126057845106;NA;NA
2048;3;27/12/2022;982126057846193;982126058484346;982126058484334;900200000279490;982126058484312;NA;NA;NA
