"date","group","bat_flying","bat_roosting","dyad","flight_time","n_inquiry","n_response","sri","kinship","flying.sex","roosting.sex","dyad.sex","udyad.sex","year"
"2022-11-09","2022_12","bat982126057845204","bat982126057845162","bat982126057845162_bat982126057845204",300,101,10,0.777777777777778,0.25,"male","male","male-->male","male-male","2022"
"2022-11-09","2022_1","bat982126057845190","bat982126058484331","bat982126057845190_bat982126058484331",300,53,2,0.756756756756757,0.5,"female","female","female-->female","female-female","2022"
"2022-11-09","2022_12","bat982126057845142","bat982126057845205","bat982126057845142_bat982126057845205",300,52,0,0.275862068965517,NA,"male","female","male-->female","mixed-sex","2022"
"2022-11-09","2022_1","bat982126058484331","bat982126057845190","bat982126057845190_bat982126058484331",300,110,424,0.756756756756757,0.5,"female","female","female-->female","female-female","2022"
"2022-11-14","2022_6","bat982126057845067","bat982126057845225","bat982126057845067_bat982126057845225",300,36,11,0.8125,0,"female","male","female-->male","mixed-sex","2022"
"2022-11-14","2022_6","bat982126051278470","bat982126057846207","bat982126051278470_bat982126057846207",193,51,236,0.25,NA,"male","male","male-->male","male-male","2022"
"2022-11-14","2022_6","bat982126057845067","bat982126057845225","bat982126057845067_bat982126057845225",161,29,64,0.8125,0,"female","male","female-->male","mixed-sex","2022"
"2022-11-14","2022_6","bat982126057846207","bat982126051278470","bat982126051278470_bat982126057846207",300,60,18,0.25,NA,"male","male","male-->male","male-male","2022"
"2022-11-14","2022_6","bat982126057845225","bat982126057846207","bat982126057845225_bat982126057846207",300,79,383,0.259259259259259,NA,"male","male","male-->male","male-male","2022"
"2022-11-14","2022_6","bat982126051278470","bat900200000279517","bat900200000279517_bat982126051278470",300,81,65,0.848484848484849,0,"male","male","male-->male","male-male","2022"
"2022-11-14","2022_6","bat982126057845225","bat982126057845067","bat982126057845067_bat982126057845225",300,79,29,0.8125,0,"male","female","male-->female","mixed-sex","2022"
"2022-11-14","2022_6","bat900200000279517","bat982126051278470","bat900200000279517_bat982126051278470",300,39,269,0.848484848484849,0,"male","male","male-->male","male-male","2022"
"2022-12-12","2021_9","bat982126051278540","bat982126057846222","bat982126051278540_bat982126057846222",300,75,135,0.0405405405405405,0,"female","male","female-->male","mixed-sex","2022"
"2022-12-12","2021_9","bat982126058484300","bat982126057846159","bat982126057846159_bat982126058484300",300,99,380,0.295454545454545,NA,"female","female","female-->female","female-female","2022"
"2022-12-12","2022_8","bat982126057846228","bat982126057846186","bat982126057846186_bat982126057846228",165,64,76,0.611111111111111,NA,"female","male","female-->male","mixed-sex","2022"
"2022-12-12","2021_9","bat982126057846218","bat982126051278540","bat982126051278540_bat982126057846218",300,4,0,0.37037037037037,NA,"female","female","female-->female","female-female","2022"
"2022-12-12","2021_9","bat982126057846159","bat982126058484300","bat982126057846159_bat982126058484300",300,12,0,0.295454545454545,NA,"female","female","female-->female","female-female","2022"
"2022-12-12","2022_8","bat982126051278475","bat982126057846186","bat982126051278475_bat982126057846186",300,27,280,0.461538461538462,0.5,"female","male","female-->male","mixed-sex","2022"
"2022-12-12","2021_9","bat982126051278521","bat982126057846222","bat982126051278521_bat982126057846222",300,76,100,0.604651162790698,0.5,"female","male","female-->male","mixed-sex","2022"
"2022-12-12","2021_9","bat982126058484277","bat982126057846159","bat982126057846159_bat982126058484277",300,280,266,0.428571428571429,NA,"female","female","female-->female","female-female","2022"
"2022-12-12","2022_8","bat900200000279820","bat982126057846228","bat900200000279820_bat982126057846228",300,108,667,0.256410256410256,NA,"male","female","male-->female","mixed-sex","2022"
"2022-12-12","2021_9","bat982126057846222","bat982126051278521","bat982126051278521_bat982126057846222",300,64,0,0.604651162790698,0.5,"male","female","male-->female","mixed-sex","2022"
"2022-12-12","2022_8","bat982126057846186","bat982126057846228","bat982126057846186_bat982126057846228",67,7,0,0.611111111111111,NA,"male","female","male-->female","mixed-sex","2022"
"2022-12-12","2021_9","bat982126051278540","bat982126057846218","bat982126051278540_bat982126057846218",300,47,0,0.37037037037037,NA,"female","female","female-->female","female-female","2022"
"2022-12-12","2021_9","bat982126057846159","bat982126058484277","bat982126057846159_bat982126058484277",300,3,0,0.428571428571429,NA,"female","female","female-->female","female-female","2022"
"2022-12-12","2022_8","bat982126057846228","bat982126051278475","bat982126051278475_bat982126057846228",300,113,3,0.282051282051282,NA,"female","female","female-->female","female-female","2022"
"2022-12-12","2022_8","bat982126057846186","bat900200000279820","bat900200000279820_bat982126057846186",300,53,1,0.435897435897436,0,"male","male","male-->male","male-male","2022"
"2022-12-19","2022_11","bat982126057845085","bat982126057846231","bat982126057845085_bat982126057846231",300,35,3,0.388888888888889,NA,"male","female","male-->female","mixed-sex","2022"
"2022-12-19","2022_7","bat982126051278504","bat982126057845081","bat982126051278504_bat982126057845081",300,162,333,0.209302325581395,NA,"female","male","female-->male","mixed-sex","2022"
"2022-12-19","2022_11","bat982126057846231","bat982126057845085","bat982126057845085_bat982126057846231",300,136,5,0.388888888888889,NA,"female","male","female-->male","mixed-sex","2022"
"2022-12-19","2022_7","bat982126051278564","bat982126057845081","bat982126051278564_bat982126057845081",16,5,0,0.268292682926829,NA,"female","male","female-->male","mixed-sex","2022"
"2022-12-19","2022_11","bat982126058484302","bat982126057845085","bat982126057845085_bat982126058484302",300,127,0,0.184210526315789,NA,"female","male","female-->male","mixed-sex","2022"
"2022-12-19","2022_7","bat982126057846208","bat982126051278504","bat982126051278504_bat982126057846208",300,26,7,0.511627906976744,0,"male","female","male-->female","mixed-sex","2022"
"2022-12-19","2022_11","bat982126057846231","bat982126058484302","bat982126057846231_bat982126058484302",300,72,0,0.473684210526316,NA,"female","female","female-->female","female-female","2022"
"2022-12-19","2022_7","bat982126051278504","bat982126057846208","bat982126051278504_bat982126057846208",300,171,98,0.511627906976744,0,"female","male","female-->male","mixed-sex","2022"
