data_id;Group;Date;Bat1;Bat2;Bat3;Bat4;Bat5;Bat6;Bat7;Bat8;Bat9;Bat10
830;11;27/4/2021;982126058484299;982126058484302;NA;NA;NA;NA;NA;NA;NA;NA
832;10;28/4/2021;982126052945921;982126051278540;982126058484318;900200000206430;982126057845238;NA;NA;NA;NA;NA
837;6;29/5/2021;900200000279470;982126051278470;982126057845225;900200000279506;982126057846238;982126057845067;900200000279517;NA;NA;NA
844;1;29/5/2021;982126058484291;982126057845181;982126058484337;982126058484272;982126058484351;900200000279533;982126058484331;982126057845190;982126058484260;982126057846158
854;2;29/5/2021;982126057845205;982126058484254;982126057845204;982126058484287;982126057845162;900200000206691;982126057846227;982126058484322;NA;NA
862;4;30/5/2021;982126051278491;982126057845201;900200000279422;NA;NA;NA;NA;NA;NA;NA
865;3;30/5/2021;982126058484334;982126058484312;982126058484346;900200000279490;982126057845194;982126057846193;NA;NA;NA;NA
871;10;30/5/2021;900200000206430;982126057845238;982126058484318;982126052945921;982126051278540;982126058484270;982126057846218;982126057846246;NA;NA
879;8;30/5/2021;982126051278475;900200000279820;982126057846186;NA;NA;NA;NA;NA;NA;NA
882;11;31/5/2021;982126058484299;982126058484302;NA;NA;NA;NA;NA;NA;NA;NA
884;6;31/5/2021;982126057845067;900200000279517;982126057846238;NA;NA;NA;NA;NA;NA;NA
887;5;31/5/2021;982126058484290;900200000279415;982126051278549;982126058484301;982126057846202;NA;NA;NA;NA;NA
892;10;31/5/2021;900200000206430;982126057845238;982126058484318;982126051278540;982126058484270;982126057846218;982126057846246;NA;NA;NA
899;7;31/5/2021;982126057846208;982126052945896;982126051278564;982126058484305;982000359237615;982126051278504;NA;NA;NA;NA
905;9;31/5/2021;982126057846222;981126058484277;982126051278521;982126058484300;NA;NA;NA;NA;NA;NA
909;2;31/5/2021;982126058484254;982126058484287;900200000206691;982126057846227;NA;NA;NA;NA;NA;NA
913;10;1/6/2021;900200000206430;982126057845238;982126058484318;982126051278540;982126058484270;982126057846218;NA;NA;NA;NA
919;6;1/6/2021;982126057845067;982126051278470;900200000279506;900200000279517;900200000279470;982126057845225;982126057846238;NA;NA;NA
926;5;2/6/2021;982126058484290;900200000279415;982126051278549;982126058484301;982126057846202;NA;NA;NA;NA;NA
931;3;21/6/2021;982126058484334;982126058484312;982126058484346;900200000279490;982126057845194;982126057846193;NA;NA;NA;NA
937;11;21/6/2021;982126058484299;982126058484302;NA;NA;NA;NA;NA;NA;NA;NA
939;6;21/6/2021;982126057845067;982126051278470;900200000279506;900200000279517;900200000279470;982126057845225;982126057846238;NA;NA;NA
946;10;21/6/2021;900200000206430;982126057845238;982126058484318;982126051278540;982126058484270;982126057846218;NA;NA;NA;NA
952;9;21/6/2021;982126051278521;982126058484315;982126058484263;982126058484300;NA;NA;NA;NA;NA;NA
956;8;21/6/2021;982126051278475;900200000279820;NA;NA;NA;NA;NA;NA;NA;NA
958;3;22/6/2021;982126058484346;900200000279490;982126058484334;982126058484312;982126057846209;NA;NA;NA;NA;NA
963;6;22/6/2021;982126057845067;982126051278470;900200000279506;900200000279517;900200000279470;982126057845225;982126057846238;NA;NA;NA
970;4;22/6/2021;982126051278491;982126057845201;900200000279422;982126057846209;NA;NA;NA;NA;NA;NA
974;1;22/6/2021;982126058484260;982126057845181;982126057845190;982126058484337;982126058484331;900200000279533;NA;NA;NA;NA
980;3;23/6/2021;982126058484334;982126058484346;900200000279490;982126058484312;NA;NA;NA;NA;NA;NA
984;7;23/6/2021;982126057846208;982126052945896;982126051278564;982126058484305;982000359237615;982126051278504;NA;NA;NA;NA
990;5;24/6/2021;982126058484290;900200000279415;982126051278549;982126058484301;982126057846202;NA;NA;NA;NA;NA
995;1;24/6/2021;982126058484291;982126058484260;900200000279533;NA;NA;NA;NA;NA;NA;NA
998;3;24/6/2021;900200000279490;982126058484346;982126058484334;982126058484312;NA;NA;NA;NA;NA;NA
1002;8;24/6/2021;982126051278475;900200000279820;982126057846186;NA;NA;NA;NA;NA;NA;NA
1005;9;24/6/2021;982126057846222;981126058484277;982126058484300;NA;NA;NA;NA;NA;NA;NA
1008;2;25/6/2021;982126057845162;982126057845204;982126057845205;982126058484322;NA;NA;NA;NA;NA;NA
1012;9;25/6/2021;982126058484277;982126051278521;982126057846222;982126058484263;982126058484315;982126058484300;NA;NA;NA;NA
1018;6;27/6/2021;982126057845067;982126051278470;900200000279506;900200000279517;900200000279470;982126057845225;982126057846238;NA;NA;NA
1025;5;27/6/2021;982126058484290;900200000279415;982126051278549;982126058484301;982126057846202;NA;NA;NA;NA;NA
1030;4;27/6/2021;900200000279422;982126051278491;982126057845201;NA;NA;NA;NA;NA;NA;NA
1033;11;27/6/2021;982126058484299;982126058484302;982126057846231;NA;NA;NA;NA;NA;NA;NA
1036;9;27/6/2021;982126058484277;982126051278521;982126057846222;982126058484263;982126058484315;982126058484300;NA;NA;NA;NA
1042;7;27/6/2021;982126057846208;982126052945896;982126051278564;982126058484305;982000359237615;982126051278504;NA;NA;NA;NA
1048;3;28/6/2021;982126057846209;982126058484346;982126058484334;982126058484346;900200000279490;982126058484312;NA;NA;NA;NA
1054;6;28/6/2021;982126057845067;982126051278470;900200000279506;900200000279517;900200000279470;982126057845225;982126057846238;NA;NA;NA
1061;10;28/6/2021;982126052945921;900200000206430;982126058484318;982126051278540;982126057845238;982126058484270;982126057846218;982126057846246;NA;NA
1069;1;28/6/2021;982126058484291;982126058484260;982126057845181;982126057845190;982126058484337;982126058484331;900200000279533;NA;NA;NA
1076;4;29/6/2021;982126051278491;982126057845201;900200000279422;982126057846209;NA;NA;NA;NA;NA;NA
1080;2;29/6/2021;900200000206691;982126058484287;982126058484254;982126057846227;NA;NA;NA;NA;NA;NA
1084;7;30/6/2021;982126057846208;982126052945896;982126051278564;982126058484305;982126051278504;982000359237615;NA;NA;NA;NA
1090;4;30/6/2021;982126051278491;982126057845201;900200000279422;982126057846209;NA;NA;NA;NA;NA;NA
